ticker,cik10,form,filing_date,accession,primary_doc,url,local_path
AAPL,0000320193,10-Q,2024-08-02,0000320193-24-000081,aapl-20240629.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000081/aapl-20240629.htm,data/raw/sec/filings_raw/AAPL/2024-08-02_10-Q_0000320193-24-000081.htm
AAPL,0000320193,10-K,2024-11-01,0000320193-24-000123,aapl-20240928.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,data/raw/sec/filings_raw/AAPL/2024-11-01_10-K_0000320193-24-000123.htm
AAPL,0000320193,10-Q,2025-01-31,0000320193-25-000008,aapl-20241228.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000008/aapl-20241228.htm,data/raw/sec/filings_raw/AAPL/2025-01-31_10-Q_0000320193-25-000008.htm
AAPL,0000320193,10-Q,2025-05-02,0000320193-25-000057,aapl-20250329.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000057/aapl-20250329.htm,data/raw/sec/filings_raw/AAPL/2025-05-02_10-Q_0000320193-25-000057.htm
AAPL,0000320193,10-Q,2025-08-01,0000320193-25-000073,aapl-20250628.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/aapl-20250628.htm,data/raw/sec/filings_raw/AAPL/2025-08-01_10-Q_0000320193-25-000073.htm
AAPL,0000320193,10-K,2025-10-31,0000320193-25-000079,aapl-20250927.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,data/raw/sec/filings_raw/AAPL/2025-10-31_10-K_0000320193-25-000079.htm
AMZN,0001018724,10-K,2022-02-04,0001018724-22-000005,amzn-20211231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/amzn-20211231.htm,data/raw/sec/filings_raw/AMZN/2022-02-04_10-K_0001018724-22-000005.htm
AMZN,0001018724,10-Q,2022-04-29,0001018724-22-000013,amzn-20220331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000013/amzn-20220331.htm,data/raw/sec/filings_raw/AMZN/2022-04-29_10-Q_0001018724-22-000013.htm
AMZN,0001018724,10-Q,2022-07-29,0001018724-22-000019,amzn-20220630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000019/amzn-20220630.htm,data/raw/sec/filings_raw/AMZN/2022-07-29_10-Q_0001018724-22-000019.htm
AMZN,0001018724,10-Q,2022-10-28,0001018724-22-000023,amzn-20220930.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000023/amzn-20220930.htm,data/raw/sec/filings_raw/AMZN/2022-10-28_10-Q_0001018724-22-000023.htm
AMZN,0001018724,10-K,2023-02-03,0001018724-23-000004,amzn-20221231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm,data/raw/sec/filings_raw/AMZN/2023-02-03_10-K_0001018724-23-000004.htm
AMZN,0001018724,10-Q,2023-04-28,0001018724-23-000008,amzn-20230331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000008/amzn-20230331.htm,data/raw/sec/filings_raw/AMZN/2023-04-28_10-Q_0001018724-23-000008.htm
AMZN,0001018724,10-Q,2023-08-04,0001018724-23-000012,amzn-20230630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000012/amzn-20230630.htm,data/raw/sec/filings_raw/AMZN/2023-08-04_10-Q_0001018724-23-000012.htm
AMZN,0001018724,10-Q,2023-10-27,0001018724-23-000018,amzn-20230930.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000018/amzn-20230930.htm,data/raw/sec/filings_raw/AMZN/2023-10-27_10-Q_0001018724-23-000018.htm
AMZN,0001018724,10-K,2024-02-02,0001018724-24-000008,amzn-20231231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,data/raw/sec/filings_raw/AMZN/2024-02-02_10-K_0001018724-24-000008.htm
AMZN,0001018724,10-Q,2024-05-01,0001018724-24-000083,amzn-20240331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000083/amzn-20240331.htm,data/raw/sec/filings_raw/AMZN/2024-05-01_10-Q_0001018724-24-000083.htm
AMZN,0001018724,10-Q,2024-08-02,0001018724-24-000130,amzn-20240630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000130/amzn-20240630.htm,data/raw/sec/filings_raw/AMZN/2024-08-02_10-Q_0001018724-24-000130.htm
AMZN,0001018724,10-Q,2024-11-01,0001018724-24-000161,amzn-20240930.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000161/amzn-20240930.htm,data/raw/sec/filings_raw/AMZN/2024-11-01_10-Q_0001018724-24-000161.htm
AMZN,0001018724,10-K,2025-02-07,0001018724-25-000004,amzn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,data/raw/sec/filings_raw/AMZN/2025-02-07_10-K_0001018724-25-000004.htm
AMZN,0001018724,10-Q,2025-05-02,0001018724-25-000036,amzn-20250331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/amzn-20250331.htm,data/raw/sec/filings_raw/AMZN/2025-05-02_10-Q_0001018724-25-000036.htm
AMZN,0001018724,10-Q,2025-08-01,0001018724-25-000086,amzn-20250630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/amzn-20250630.htm,data/raw/sec/filings_raw/AMZN/2025-08-01_10-Q_0001018724-25-000086.htm
