ticker,filed,Assets,CommonStockSharesOutstanding,EarningsPerShareBasic,Liabilities,NetIncomeLoss,OperatingIncomeLoss,Revenues,StockholdersEquity
MSFT,2023-04-25,380088000000.0,7437000000.0,2.46,185405000000.0,18299000000.0,22352000000.0,,194683000000.0
MSFT,2023-07-27,411976000000.0,7432000000.0,9.72,205753000000.0,72361000000.0,88523000000.0,,206223000000.0
MSFT,2023-10-24,445785000000.0,7431000000.0,3.0,225071000000.0,22291000000.0,26895000000.0,,220714000000.0
MSFT,2024-01-30,470558000000.0,7432000000.0,2.94,232290000000.0,21870000000.0,27032000000.0,,238268000000.0
MSFT,2024-04-25,484275000000.0,7433000000.0,2.95,231123000000.0,21939000000.0,27581000000.0,,253152000000.0
MSFT,2024-07-30,512163000000.0,7434000000.0,11.86,243686000000.0,88136000000.0,109433000000.0,,268477000000.0
MSFT,2024-10-30,523013000000.0,7436000000.0,3.32,235290000000.0,24667000000.0,30552000000.0,,287723000000.0
MSFT,2025-01-29,533898000000.0,7435000000.0,3.24,231203000000.0,24108000000.0,31653000000.0,,302695000000.0
MSFT,2025-04-30,562624000000.0,7434000000.0,3.47,240733000000.0,25824000000.0,32000000000.0,,321891000000.0
MSFT,2025-07-30,619003000000.0,7434000000.0,13.7,275524000000.0,101832000000.0,128528000000.0,,343479000000.0
MSFT,2025-10-29,636351000000.0,7434000000.0,3.73,273275000000.0,27747000000.0,37961000000.0,,363076000000.0
MSFT,2026-01-28,665302000000.0,7429000000.0,5.18,274427000000.0,38458000000.0,38275000000.0,,390875000000.0
NFLX,2009-07-31,591993000.0,57415726.0,0.56,267622000.0,32443000.0,52782000.0,408509000.0,324371000.0
NFLX,2009-10-26,492131000.0,54642694.0,0.54,259929000.0,30141000.0,49337000.0,423120000.0,232202000.0
NFLX,2010-02-22,679734000.0,53440073.0,2.05,480591000.0,115860000.0,191939000.0,1670269000.0,199143000.0
NFLX,2010-04-28,648293000.0,52261855.0,0.61,501558000.0,32272000.0,58345000.0,493665000.0,146735000.0
NFLX,2010-07-27,693972000.0,52358171.0,0.83,517332000.0,43519000.0,77342000.0,519819000.0,176640000.0
NFLX,2010-10-26,770283000.0,52257495.0,0.73,578308000.0,37967000.0,69501000.0,553219000.0,191975000.0
NFLX,2011-02-18,982067000.0,52781949.0,3.06,691903000.0,160853000.0,283641000.0,2162625000.0,290164000.0
NFLX,2011-04-27,1090188000.0,52519159.0,1.14,814466000.0,60233000.0,102240000.0,718553000.0,275722000.0
NFLX,2011-07-27,1570693000.0,52536246.0,1.3,1236659000.0,68214000.0,115114000.0,788610000.0,334034000.0
NFLX,2011-10-27,1961558000.0,52504091.0,1.19,1573206000.0,62460000.0,96842000.0,821839000.0,388352000.0
NFLX,2011-11-07,1961558000.0,52504091.0,1.19,1573206000.0,62460000.0,96842000.0,821839000.0,388352000.0
NFLX,2012-02-10,3069196000.0,55398615.0,0.66,2426386000.0,35219000.0,61872000.0,875575000.0,642810000.0
NFLX,2012-04-27,3480459000.0,55515631.0,-0.08,2817057000.0,-4584000.0,-1935000.0,869791000.0,663402000.0
NFLX,2012-08-02,3478290000.0,55534266.0,0.11,2790064000.0,6164000.0,16154000.0,889163000.0,688226000.0
NFLX,2012-10-30,3808833000.0,55545531.0,0.14,3091993000.0,7675000.0,16135000.0,905089000.0,716840000.0
NFLX,2013-02-01,3967890000.0,55398615.0,0.14,3223217000.0,7897000.0,49992000.0,945239000.0,744673000.0
NFLX,2013-04-26,4363289000.0,56143986.0,0.05,3550370000.0,2689000.0,31822000.0,1023961000.0,812919000.0
NFLX,2013-07-25,4480751000.0,58922493.0,0.51,3375129000.0,29471000.0,57117000.0,1069372000.0,1105622000.0
NFLX,2013-10-25,4901325000.0,59257798.0,0.54,3696955000.0,31822000.0,57120000.0,1105999000.0,1204370000.0
NFLX,2014-02-03,5412563000.0,59607001.0,0.81,4079002000.0,48421000.0,228347000.0,1175230000.0,1333561000.0
NFLX,2014-04-23,6048106000.0,59940336.0,0.89,4569748000.0,53115000.0,97595000.0,1270089000.0,1478358000.0
NFLX,2014-07-22,6325822000.0,60091015.0,1.18,4716117000.0,71018000.0,129600000.0,1340407000.0,1609705000.0
NFLX,2014-10-20,6778329000.0,60246379.0,0.99,5053455000.0,59295000.0,110407000.0,1409432000.0,1724874000.0
NFLX,2015-01-29,7056651000.0,60415841.0,1.38,5198943000.0,83371000.0,402648000.0,1484728000.0,1857708000.0
NFLX,2015-04-17,9240626000.0,60620721.0,0.39,7331412000.0,23696000.0,97456000.0,1573129000.0,1909214000.0
NFLX,2015-07-17,9654861000.0,426004831.0,0.06,7622786000.0,26335000.0,74835000.0,1644694000.0,2032075000.0
NFLX,2015-10-16,9916267000.0,427388288.0,0.07,7748949000.0,29432000.0,73641000.0,1738355000.0,2167318000.0
NFLX,2016-01-28,10202871000.0,427940440.0,0.1,7979445000.0,43178000.0,305826000.0,1823333000.0,2223426000.0
NFLX,2016-04-20,11262274000.0,428289216.0,0.06,8945041000.0,27658000.0,49453000.0,1957736000.0,2317233000.0
NFLX,2016-07-19,11593507000.0,428725388.0,0.1,9177673000.0,40755000.0,70370000.0,2105204000.0,2415834000.0
NFLX,2016-10-20,12347338000.0,429145023.0,0.12,9818372000.0,51517000.0,106036000.0,2290188000.0,2528966000.0
NFLX,2017-01-27,13586610000.0,430054212.0,0.16,10906810000.0,66748000.0,379793000.0,2477541000.0,2679800000.0
NFLX,2017-04-20,14359096000.0,430993429.0,0.41,11385413000.0,178222000.0,256942000.0,2636635000.0,2973683000.0
NFLX,2017-07-19,16517223000.0,431749744.0,0.15,13404723000.0,65600000.0,127807000.0,2785464000.0,3112500000.0
NFLX,2017-10-18,16951540000.0,432731130.0,0.3,13624179000.0,129590000.0,208627000.0,2984859000.0,3327361000.0
NFLX,2018-01-29,19012742000.0,433392686.0,0.43,15430786000.0,185517000.0,838679000.0,3285755000.0,3581956000.0
NFLX,2018-02-05,19012742000.0,433392686.0,0.43,15430786000.0,185517000.0,838679000.0,3285755000.0,3581956000.0
NFLX,2018-04-18,20152797000.0,434657303.0,0.67,16132067000.0,290124000.0,446578000.0,3700856000.0,4020730000.0
NFLX,2018-07-18,22663537000.0,435457505.0,0.88,18166937000.0,384349000.0,462213000.0,3907270000.0,4496600000.0
NFLX,2018-10-18,23366229000.0,436084995.0,0.92,18356576000.0,402835000.0,480668000.0,3999374000.0,5009653000.0
NFLX,2019-01-29,25974400000.0,436598597.0,0.31,20735635000.0,133934000.0,1605226000.0,4186841000.0,5238765000.0
NFLX,2019-04-18,27218632000.0,437191891.0,0.79,21515574000.0,344052000.0,459084000.0,4520992000.0,5703058000.0
NFLX,2019-07-19,30171339000.0,437834882.0,0.62,24065791000.0,270650000.0,706419000.0,4923116000.0,6105548000.0
NFLX,2019-10-18,30941711000.0,438251289.0,1.52,24080206000.0,665244000.0,980239000.0,5244905000.0,6861505000.0
NFLX,2020-01-29,33975712000.0,438806649.0,1.34,26393555000.0,586970000.0,2604254000.0,5467434000.0,7582157000.0
NFLX,2020-04-21,35059910000.0,439780618.0,1.61,26650616000.0,709067000.0,958256000.0,5767691000.0,8409294000.0
NFLX,2020-07-20,37175281000.0,441015443.0,1.63,27840528000.0,720196000.0,1357928000.0,6148286000.0,9334753000.0
NFLX,2020-10-22,38622543000.0,441795008.0,1.79,28289220000.0,789976000.0,1314863000.0,6435637000.0,10333323000.0
NFLX,2021-01-28,39280359000.0,442895261.0,1.23,28215119000.0,542156000.0,4585289000.0,6644442000.0,11065240000.0
NFLX,2021-04-22,40123014000.0,443383732.0,3.85,27238934000.0,1706715000.0,1959856000.0,7163282000.0,12884080000.0
NFLX,2021-07-22,40970969000.0,442595888.0,3.05,27107098000.0,1353013000.0,1847630000.0,7341777000.0,13863871000.0
NFLX,2021-10-21,42739857000.0,442952194.0,3.27,27425240000.0,1449071000.0,1755253000.0,7483467000.0,15314617000.0
NFLX,2022-01-27,44584663000.0,443963107.0,11.55,28735415000.0,5116228000.0,6194509000.0,29697844000.0,15849248000.0
NFLX,2022-04-21,45330904000.0,444273850.0,3.6,27786865000.0,1597447000.0,1971626000.0,7867767000.0,17544039000.0
NFLX,2022-07-21,46350935000.0,444705591.0,3.24,27274961000.0,1440951000.0,1578283000.0,7970141000.0,19075974000.0
NFLX,2022-10-20,47562187000.0,445020494.0,3.14,27034046000.0,1398242000.0,1533018000.0,7925589000.0,20528141000.0
NFLX,2023-01-26,48594768000.0,445346776.0,10.1,27817367000.0,4491924000.0,5632831000.0,31615550000.0,20777401000.0
NFLX,2023-04-21,49490345000.0,444536878.0,2.93,27662149000.0,1305120000.0,1714317000.0,8161503000.0,21828196000.0
NFLX,2023-07-21,50817473000.0,443146751.0,3.35,27985258000.0,1487610000.0,1827183000.0,8187301000.0,22832215000.0
NFLX,2023-10-20,49501786000.0,437679669.0,3.8,27394159000.0,1677422000.0,1916394000.0,8541668000.0,22107627000.0
NFLX,2024-01-26,48731992000.0,432759584.0,12.25,28143679000.0,5407990000.0,6954003000.0,33723297000.0,20588313000.0
NFLX,2024-04-22,48827721000.0,430964991.0,5.4,27462311000.0,2332209000.0,2632534000.0,9370440000.0,21365410000.0
NFLX,2024-07-19,49098895000.0,429164615.0,4.99,26986202000.0,2147306000.0,2602837000.0,9559310000.0,22112693000.0
NFLX,2024-10-18,52281844000.0,427458114.0,5.52,29561108000.0,2363509000.0,2909477000.0,9824703000.0,22720736000.0
NFLX,2025-01-27,53630374000.0,427757100.0,20.28,28886807000.0,8711631000.0,10417614000.0,39000966000.0,24743567000.0
NFLX,2025-04-18,52087644000.0,425683210.0,6.76,28059571000.0,2890351000.0,3346999000.0,10542801000.0,24028073000.0
NFLX,2025-07-18,53099664000.0,424926346.0,7.35,28147765000.0,3125413000.0,3774694000.0,11079166000.0,24951899000.0
NFLX,2025-10-22,54934835000.0,423732334.0,6.0,28980800000.0,2546916000.0,3248247000.0,11510307000.0,25954035000.0
NFLX,2026-01-23,55596993000.0,4222162150.0,2.58,28981505000.0,10981201000.0,13326603000.0,45183036000.0,26615488000.0
NIO,2019-04-02,18842552000.0,23850343.0,,10692210000.0,,-9595608000.0,4951171000.0,6837041000.0
NIO,2020-05-14,14582029000.0,1064472660.0,,19403841000.0,,-11079189000.0,,-6299686000.0
NIO,2020-12-10,34393110000.0,1405365548.0,,20220920000.0,,-3676259000.0,,8022268000.0
NIO,2021-04-06,54641929000.0,1526539388.0,,22779686000.0,,-4607645000.0,,27168831000.0
NIO,2021-11-15,69010860000.0,1590573377.0,,41278575000.0,,-2051172000.0,,24419306000.0
